,Year,Month,value
607,2015,8,33
608,2015,9,66
609,2015,10,28
610,2015,11,52
611,2015,12,27
612,2016,1,37
613,2016,2,24
614,2016,3,30
615,2016,4,57
616,2016,5,30
617,2016,6,41
618,2016,7,36
619,2016,8,35
620,2016,9,46
621,2016,10,36
622,2016,11,44
623,2016,12,53
