,0
1595,-1
1596,-1
1597,305
1598,-1
1599,196
1600,196
1601,560
1602,389
1603,-1
1604,223
1605,-1
1606,523
1607,155
1608,176
1609,-1
1610,28
1611,-1
1612,-1
1613,-1
1614,-1
1615,830
1616,612
1617,442
1618,600
1619,112
1620,394
1621,-1
1622,78
1623,-1
1624,-1
1625,93
1626,67
1627,67
1628,756
1629,515
1630,-1
1631,-1
1632,-1
1633,441
1634,-1
1635,66
1636,544
1637,246
1638,246
1639,128
1640,-1
1641,-1
1642,525
1643,-1
1644,216
1645,-1
1646,-1
1647,418
1648,-1
1649,-1
1650,520
1651,232
1652,-1
1653,-1
1654,-1
1655,-1
1656,-1
1657,760
1658,-1
1659,383
1660,383
1661,-1
1662,-1
1663,8
1664,618
1665,618
1666,216
1667,-1
1668,171
1669,360
1670,-1
1671,35
1672,822
1673,614
1674,257
1675,-1
1676,-1
1677,257
1678,684
1679,-1
1680,292
1681,614
1682,304
1683,-1
1684,102
1685,461
1686,591
1687,-1
1688,584
1689,-1
1690,-1
1691,-1
1692,-1
1693,-1
1694,-1
1695,126
1696,-1
1697,-1
1698,48
1699,556
1700,-1
1701,-1
1702,681
1703,108
1704,547
1705,775
1706,-1
1707,527
1708,51
1709,399
1710,30
1711,454
1712,111
1713,-1
1714,-1
1715,204
1716,229
1717,-1
1718,-1
1719,686
1720,686
1721,328
1722,530
1723,473
1724,473
1725,-1
1726,-1
1727,85
1728,85
1729,-1
1730,-1
1731,83
1732,438
1733,83
1734,-1
1735,-1
1736,82
1737,-1
1738,-1
1739,-1
1740,-1
1741,-1
1742,-1
1743,-1
1744,735
1745,207
1746,-1
1747,9
1748,-1
1749,31
1750,480
1751,-1
1752,-1
1753,564
1754,-1
1755,-1
1756,27
1757,-1
1758,-1
1759,253
1760,248
1761,-1
1762,247
1763,-1
1764,-1
1765,-1
1766,248
1767,-1
1768,-1
1769,573
1770,838
1771,182
1772,672
1773,197
1774,-1
1775,142
1776,343
1777,-1
1778,-1
1779,250
1780,-1
1781,134
1782,134
1783,463
1784,-1
1785,-1
1786,503
1787,-1
1788,75
1789,-1
1790,407
1791,641
1792,740
1793,-1
1794,482
1795,280
1796,-1
1797,653
1798,284
1799,-1
1800,-1
1801,397
1802,-1
1803,-1
1804,-1
1805,-1
1806,480
1807,-1
1808,-1
1809,-1
1810,-1
1811,-1
1812,-1
1813,-1
1814,181
1815,18
1816,-1
1817,-1
1818,145
1819,-1
1820,480
1821,-1
1822,189
1823,-1
1824,472
1825,472
1826,-1
1827,-1
1828,-1
1829,-1
1830,824
1831,-1
1832,607
1833,360
1834,-1
1835,602
1836,178
1837,-1
1838,636
1839,-1
1840,-1
1841,-1
1842,-1
1843,653
1844,-1
1845,191
1846,-1
1847,-1
1848,-1
1849,-1
1850,-1
1851,638
1852,447
1853,-1
1854,-1
1855,287
1856,231
1857,-1
1858,123
1859,123
1860,123
1861,123
1862,-1
1863,-1
1864,374
1865,447
1866,436
1867,-1
1868,432
1869,-1
1870,433
1871,-1
1872,-1
1873,-1
1874,447
1875,435
1876,459
1877,443
1878,452
1879,-1
1880,-1
1881,435
1882,-1
1883,-1
1884,-1
1885,91
1886,-1
1887,-1
1888,-1
1889,-1
1890,530
1891,447
1892,-1
1893,-1
1894,434
1895,-1
1896,-1
1897,247
1898,-1
1899,-1
1900,342
1901,-1
1902,123
1903,-1
1904,334
1905,-1
1906,230
1907,-1
1908,91
1909,381
1910,-1
1911,638
1912,137
1913,414
1914,829
1915,472
1916,429
1917,-1
1918,715
1919,314
1920,244
1921,205
1922,787
1923,-1
1924,270
1925,-1
1926,702
1927,243
1928,439
1929,277
1930,731
1931,-1
1932,565
1933,565
1934,440
1935,18
1936,672
1937,-1
1938,282
1939,-1
1940,603
1941,-1
1942,-1
1943,-1
1944,-1
1945,457
1946,528
1947,64
1948,493
1949,179
1950,248
1951,815
1952,34
1953,556
1954,-1
1955,-1
1956,662
1957,389
1958,-1
1959,439
1960,254
1961,254
1962,254
1963,254
1964,528
1965,528
1966,848
1967,664
1968,543
1969,-1
1970,446
1971,-1
1972,30
1973,-1
1974,446
1975,446
1976,-1
1977,30
1978,123
1979,-1
1980,-1
1981,533
1982,333
1983,237
1984,53
1985,9
1986,254
1987,-1
1988,256
1989,848
1990,643
1991,397
1992,687
1993,-1
1994,597
1995,139
1996,-1
1997,491
1998,551
1999,-1
2000,188
2001,723
2002,758
2003,-1
2004,-1
2005,758
2006,614
2007,-1
2008,-1
2009,-1
2010,808
2011,-1
2012,730
2013,-1
2014,497
2015,497
2016,442
2017,437
2018,496
2019,-1
2020,-1
2021,-1
2022,326
2023,765
2024,-1
2025,236
2026,-1
2027,428
2028,297
2029,-1
2030,763
2031,683
2032,-1
2033,625
2034,496
2035,763
2036,-1
2037,-1
2038,464
2039,444
2040,444
2041,255
2042,-1
2043,493
2044,-1
2045,350
2046,497
2047,195
2048,-1
2049,-1
2050,-1
2051,-1
2052,-1
2053,-1
2054,478
2055,729
2056,603
2057,563
2058,-1
2059,489
2060,497
2061,565
2062,123
2063,-1
2064,347
2065,781
2066,-1
2067,-1
2068,613
2069,-1
2070,779
2071,358
2072,208
2073,-1
2074,-1
2075,-1
2076,217
2077,217
2078,363
2079,12
2080,-1
2081,-1
2082,-1
2083,211
2084,441
2085,626
2086,844
2087,-1
2088,555
2089,634
2090,233
2091,-1
2092,472
2093,472
2094,24
2095,-1
2096,-1
2097,-1
2098,95
2099,-1
2100,389
2101,593
2102,234
2103,-1
2104,-1
2105,76
2106,-1
2107,562
2108,146
2109,641
2110,496
2111,-1
2112,202
2113,668
2114,-1
2115,-1
2116,12
2117,-1
2118,176
2119,554
2120,386
2121,660
2122,-1
2123,555
2124,-1
2125,141
2126,-1
2127,24
2128,253
2129,-1
2130,-1
2131,727
2132,727
2133,348
2134,501
2135,-1
2136,-1
2137,-1
2138,514
2139,-1
2140,-1
2141,276
2142,-1
2143,640
2144,-1
2145,640
2146,-1
2147,121
2148,398
2149,398
2150,667
2151,667
2152,667
2153,724
2154,488
2155,390
2156,292
2157,501
2158,226
2159,764
2160,-1
2161,-1
2162,-1
2163,507
2164,237
2165,456
2166,-1
2167,-1
2168,-1
2169,-1
2170,615
2171,-1
2172,828
2173,361
2174,636
2175,636
2176,-1
2177,-1
2178,841
2179,841
2180,-1
2181,-1
2182,841
2183,843
2184,843
2185,842
2186,-1
2187,710
2188,710
2189,842
2190,841
2191,842
2192,842
2193,35
2194,842
2195,439
2196,843
2197,843
2198,840
2199,841
2200,-1
2201,-1
2202,-1
2203,-1
2204,-1
2205,-1
2206,-1
2207,236
2208,-1
2209,-1
2210,842
2211,840
2212,221
2213,842
2214,157
2215,-1
2216,157
2217,157
2218,-1
2219,157
2220,841
2221,-1
2222,-1
2223,714
2224,-1
2225,-1
2226,-1
2227,-1
2228,610
2229,841
2230,15
2231,609
2232,-1
2233,737
2234,-1
2235,841
2236,840
2237,518
2238,401
2239,841
2240,-1
2241,-1
2242,433
2243,349
2244,840
2245,840
2246,839
2247,-1
2248,839
2249,-1
2250,839
2251,839
2252,-1
2253,839
2254,839
2255,-1
2256,839
2257,-1
2258,467
2259,-1
2260,-1
2261,-1
2262,626
2263,-1
2264,-1
2265,838
2266,838
2267,-1
2268,-1
2269,-1
2270,-1
2271,838
2272,416
2273,416
2274,157
2275,-1
2276,844
2277,841
2278,-1
2279,-1
2280,615
2281,-1
2282,615
2283,496
2284,170
2285,103
2286,345
2287,127
2288,395
2289,395
2290,841
2291,-1
2292,-1
2293,571
2294,343
2295,-1
2296,-1
2297,-1
2298,-1
2299,127
2300,-1
2301,-1
2302,57
2303,57
2304,-1
2305,847
2306,-1
2307,437
2308,437
2309,444
2310,-1
2311,423
2312,-1
2313,397
2314,-1
2315,-1
2316,612
2317,227
2318,-1
2319,-1
2320,-1
2321,-1
2322,435
2323,-1
2324,658
2325,444
2326,-1
2327,781
2328,216
2329,399
2330,642
2331,838
2332,763
2333,-1
2334,132
2335,-1
2336,132
2337,-1
2338,-1
2339,142
2340,142
2341,619
2342,609
2343,-1
2344,607
2345,609
2346,607
2347,842
2348,843
2349,441
2350,482
2351,227
2352,137
2353,175
2354,-1
2355,780
2356,657
2357,657
2358,-1
2359,-1
2360,-1
2361,-1
2362,-1
2363,90
2364,-1
2365,-1
2366,90
2367,-1
2368,-1
2369,-1
2370,174
2371,90
2372,-1
2373,336
2374,-1
2375,-1
2376,89
2377,-1
2378,-1
2379,-1
2380,89
2381,-1
2382,346
2383,109
2384,-1
2385,26
2386,-1
2387,496
2388,-1
2389,35
2390,-1
2391,-1
2392,181
2393,410
2394,-1
2395,332
2396,90
2397,488
2398,-1
2399,493
2400,826
2401,223
2402,348
2403,-1
2404,-1
2405,-1
2406,715
2407,608
2408,-1
2409,573
2410,-1
2411,449
2412,197
2413,586
2414,550
2415,550
2416,-1
2417,9
2418,9
2419,-1
2420,245
2421,700
2422,236
2423,236
2424,537
2425,-1
2426,-1
2427,-1
2428,-1
2429,-1
2430,755
2431,55
2432,-1
2433,-1
2434,-1
2435,387
2436,-1
2437,-1
2438,-1
2439,477
2440,-1
2441,-1
2442,-1
2443,310
2444,613
2445,380
2446,513
2447,513
2448,175
2449,384
2450,255
2451,-1
2452,-1
2453,369
2454,-1
2455,845
2456,631
2457,279
2458,-1
2459,324
2460,596
2461,113
2462,440
2463,-1
2464,339
2465,404
2466,487
2467,579
2468,-1
2469,480
2470,-1
2471,-1
2472,-1
2473,458
2474,-1
2475,-1
2476,751
2477,15
2478,-1
2479,107
2480,-1
2481,533
2482,-1
2483,17
2484,-1
2485,-1
2486,101
2487,33
2488,-1
2489,-1
2490,601
2491,-1
2492,-1
2493,264
2494,264
2495,-1
2496,262
2497,263
2498,-1
2499,188
2500,249
2501,424
2502,601
2503,-1
2504,-1
2505,-1
2506,-1
2507,715
2508,96
2509,-1
2510,-1
2511,155
2512,586
2513,718
2514,341
2515,-1
2516,31
2517,-1
2518,743
2519,535
2520,-1
2521,426
2522,-1
2523,177
2524,559
2525,-1
2526,-1
2527,436
2528,-1
2529,-1
2530,183
2531,-1
2532,336
2533,488
2534,613
2535,321
2536,494
2537,-1
2538,194
2539,576
2540,494
2541,66
2542,66
2543,647
2544,549
2545,574
2546,388
2547,567
2548,567
2549,253
2550,742
2551,27
2552,-1
2553,211
2554,772
2555,495
2556,801
2557,672
2558,-1
2559,507
2560,-1
2561,418
2562,-1
2563,441
2564,274
2565,753
2566,-1
2567,-1
2568,632
2569,9
2570,621
2571,-1
2572,622
2573,-1
2574,270
2575,178
2576,9
2577,467
2578,-1
2579,415
2580,-1
2581,776
2582,662
2583,543
2584,615
2585,-1
2586,412
2587,-1
2588,-1
2589,-1
2590,-1
2591,561
2592,756
2593,339
2594,-1
2595,-1
2596,776
2597,-1
2598,-1
2599,613
2600,408
2601,-1
2602,-1
2603,823
2604,524
2605,533
2606,-1
2607,829
2608,-1
2609,582
2610,506
2611,115
2612,-1
2613,202
2614,289
2615,289
2616,663
2617,289
2618,352
2619,-1
2620,314
2621,146
2622,436
2623,-1
2624,825
2625,-1
2626,630
2627,630
2628,253
2629,630
2630,-1
2631,292
2632,412
2633,-1
2634,352
2635,503
2636,503
2637,-1
2638,1
2639,516
2640,-1
2641,-1
2642,262
2643,262
2644,746
2645,600
2646,713
2647,-1
2648,0
2649,369
2650,707
2651,-1
2652,131
2653,534
2654,355
2655,-1
2656,654
2657,611
2658,358
2659,535
2660,5
2661,134
2662,730
2663,730
2664,730
2665,-1
2666,730
2667,302
2668,-1
2669,429
2670,-1
2671,297
2672,694
2673,-1
2674,730
2675,674
2676,485
2677,485
2678,-1
2679,486
2680,-1
2681,486
2682,71
2683,390
2684,339
2685,-1
2686,507
2687,207
2688,-1
2689,126
2690,-1
2691,126
2692,-1
2693,-1
2694,769
2695,-1
2696,724
2697,588
2698,-1
2699,81
2700,-1
2701,-1
2702,-1
2703,435
2704,435
2705,-1
2706,77
2707,-1
2708,216
2709,77
2710,77
2711,482
2712,220
2713,14
2714,-1
2715,-1
2716,-1
2717,-1
2718,309
2719,309
2720,220
2721,-1
2722,-1
2723,178
2724,668
2725,-1
2726,-1
2727,105
2728,-1
2729,-1
2730,-1
2731,-1
2732,825
2733,26
2734,784
2735,-1
2736,413
2737,267
2738,688
2739,829
2740,829
2741,700
2742,142
2743,-1
2744,-1
2745,-1
2746,410
2747,-1
2748,-1
2749,115
2750,-1
2751,241
2752,413
2753,241
2754,241
2755,242
2756,510
2757,-1
2758,-1
2759,5
2760,-1
2761,5
2762,35
