,Date,Time,Latitude,Longitude,Depth,Magnitude,Year,Month,Country,Continent,MagGroup,DepthGroup,Tecto-setting,region
874,1968-03-07,0 days 13:22:19,-5.897,151.013,45.0,6.3,1968,3,Papua New Guinea,Oceania,1.0,Shallow,Convergent,Australian-Pacific
875,1968-03-09,0 days 03:19:23,-5.603,154.093,75.0,5.7,1968,3,Undefined,Undefined,0.0,Intermediate,Convergent,Australian-Pacific
876,1968-03-10,0 days 03:49:34,51.955,-177.212,70.0,5.5,1968,3,United States,North America,0.0,Intermediate,Transform,NorthAmerican-Pacific
877,1968-03-10,0 days 07:11:22,-36.391,179.575,70.0,5.8,1968,3,Undefined,Undefined,0.0,Intermediate,Convergent,Australian-Pacific
878,1968-03-11,0 days 08:26:33,-16.212,-173.889,109.1,6.4,1968,3,Undefined,Undefined,1.0,Intermediate,Convergent,Australian-Pacific
879,1968-03-17,0 days 20:14:34,3.204,128.182,65.0,6.1,1968,3,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
880,1968-03-22,0 days 01:55:44,-20.624,-69.119,95.8,5.6,1968,3,Chile,South America,0.0,Intermediate,Convergent,SouthAmerican-Nazca
881,1968-03-22,0 days 09:15:10,13.255,145.77,25.0,5.7,1968,3,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Pacific
882,1968-03-26,0 days 00:42:00,-6.626,116.161,554.4,6.1,1968,3,Indonesia,Asia,1.0,Deep,Convergent,Australian-Eurasian
883,1968-03-26,0 days 19:40:43,8.103,126.317,84.8,5.8,1968,3,Philippines,Asia,0.0,Intermediate,Convergent,Philippine-Eurasian
884,1968-03-27,0 days 04:52:47,47.914,154.053,45.0,5.6,1968,3,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
885,1968-03-27,0 days 22:36:43,-4.178,133.149,17.5,5.7,1968,3,Indonesia,Asia,0.0,Shallow,Convergent,Australian-Eurasian
886,1968-04-01,0 days 00:42:07,32.449,132.269,34.2,7.5,1968,4,Japan,Asia,2.0,Shallow,Convergent,Philippine-Eurasian
887,1968-04-01,0 days 07:13:19,32.241,132.136,30.0,6.8,1968,4,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
888,1968-04-07,0 days 04:40:21,51.359,176.55,36.4,5.9,1968,4,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
889,1968-04-09,0 days 02:29:00,33.1798333,-116.103,10.0,6.6,1968,4,United States,North America,1.0,Shallow,Transform,NorthAmerican-Pacific
890,1968-04-14,0 days 08:37:11,33.514,141.763,24.2,5.6,1968,4,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
891,1968-04-19,0 days 09:04:26,-42.68,-16.088,10.0,5.8,1968,4,Undefined,Undefined,0.0,Shallow,Divergent,SouthAmerican-African
892,1968-04-20,0 days 12:25:09,-15.676,-172.705,15.0,6.3,1968,4,Undefined,Undefined,1.0,Shallow,Convergent,Australian-Pacific
893,1968-04-21,0 days 08:34:03,38.621,143.286,25.0,6.3,1968,4,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
894,1968-04-23,0 days 20:29:15,58.645,-150.086,20.1,6.2,1968,4,Undefined,Undefined,1.0,Shallow,Transform,NorthAmerican-Pacific
895,1968-04-26,0 days 00:42:35,-15.575,-172.91,30.0,6.2,1968,4,Undefined,Undefined,1.0,Shallow,Convergent,Australian-Pacific
896,1968-04-26,0 days 17:47:59,18.462,-103.528,30.0,6.1,1968,4,Mexico,North America,1.0,Shallow,Convergent,Carribean-Cocos
897,1968-04-28,0 days 04:18:14,44.757,174.533,15.0,5.5,1968,4,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
898,1968-05-02,0 days 05:29:39,18.682,-69.641,82.3,5.9,1968,5,Dominican Republic,North America,0.0,Intermediate,Convergent,Carribean-Cocos
899,1968-05-02,0 days 23:26:04,-6.348,129.915,125.3,5.7,1968,5,Indonesia,Asia,0.0,Intermediate,Convergent,Australian-Eurasian
900,1968-05-03,0 days 05:32:47,25.191,124.636,97.4,5.7,1968,5,Undefined,Undefined,0.0,Intermediate,Convergent,Philippine-Eurasian
901,1968-05-07,0 days 09:00:29,6.741,-73.002,159.4,5.7,1968,5,Colombia,South America,0.0,Intermediate,Convergent,Carribean-Cocos
902,1968-05-08,0 days 11:00:05,-58.011,157.724,15.0,5.6,1968,5,Undefined,Undefined,0.0,Shallow,Divergent,Australian-Antarctic
